File,Tag,Content
/mnt/data/contact.html,Title,Return Policy
/mnt/data/contact.html,Header-h2,About Us
/mnt/data/contact.html,Header-h3,Why Choose Us?
/mnt/data/contact.html,Header-h3,Our Mission
/mnt/data/contact.html,Header-h3,Our Vision
/mnt/data/contact.html,Header-h3,Our Values
/mnt/data/contact.html,Header-h3,Contact Info
/mnt/data/contact.html,Header-h3,Find Us
/mnt/data/contact.html,Paragraph,"At Shopy Cloud, we believe in the power of thoughtful gifting to create lasting memories. With a passion for creativity and quality, we offer a diverse range of customizable products designed to suit every occasion and preference."
/mnt/data/contact.html,Paragraph,We pride ourselves on our commitment to excellence. Here are some reasons why our customers trust us:
/mnt/data/contact.html,Paragraph,Our mission is simple yet profound: to spread joy and strengthen connections through thoughtful and meaningful gifts. We aim to provide products that inspire happiness and create cherished moments for our customers and their loved ones.
/mnt/data/contact.html,Paragraph,"We envision a world where every gift tells a unique story. Our goal is to become a global leader in personalized gifting solutions, setting benchmarks for quality, innovation, and customer satisfaction."
/mnt/data/contact.html,Paragraph,Phone:7016498352
/mnt/data/contact.html,Paragraph,Email:Shopycloud@gmail.com
/mnt/data/contact.html,Paragraph,"Address:Rajkot, Gujarat, India - 360001"
/mnt/data/contact.html,Link,#
/mnt/data/contact.html,Link,index.html
/mnt/data/contact.html,Link,index.html
/mnt/data/contact.html,Link,index.html
/mnt/data/contact.html,Link,index.html
/mnt/data/contact.html,Link,contact.html
/mnt/data/contact.html,Link,F&Q.html
/mnt/data/contact.html,Link,#
/mnt/data/contact.html,Link,#
/mnt/data/contact.html,Link,#
/mnt/data/F&Q.html,Title,Return Policy
/mnt/data/F&Q.html,Header-h2,Our Return Policy
/mnt/data/F&Q.html,Header-h3,Eligibility for Returns
/mnt/data/F&Q.html,Header-h3,How to Process a Return
/mnt/data/F&Q.html,Header-h3,Refunds
/mnt/data/F&Q.html,Header-h3,Exchanges
/mnt/data/F&Q.html,Header-h3,Damaged or Defective Items
/mnt/data/F&Q.html,Header-h3,Non-returnable Items
/mnt/data/F&Q.html,Header-h3,Shipping Costs
/mnt/data/F&Q.html,Header-h3,International Returns
/mnt/data/F&Q.html,Header-h3,Return Processing Time
/mnt/data/F&Q.html,Paragraph,"If you are not completely satisfied with your purchase, you may return it within 30 days for a full refund or exchange."
/mnt/data/F&Q.html,Paragraph,"Once we receive your return, we will notify you via email about the approval or rejection of your refund."
/mnt/data/F&Q.html,Paragraph,"If you wish to exchange an item, please contact us at support@example.com."
/mnt/data/F&Q.html,Paragraph,"If you receive an item that is damaged or defective, please contact us immediately at support@example.com. We will offer a full refund or exchange, and we will cover the return shipping costs."
/mnt/data/F&Q.html,Paragraph,"Certain items are non-returnable, including:"
/mnt/data/F&Q.html,Paragraph,Shipping costs for returns are the responsibility of the customer unless the item is defective or damaged. We recommend using a trackable shipping service or purchasing shipping insurance for returns over $75.
/mnt/data/F&Q.html,Paragraph,"For international orders, the customer is responsible for return shipping fees, as well as any customs duties or taxes. Please ensure that your return is sent using a trackable method to avoid any issues with delivery."
/mnt/data/F&Q.html,Paragraph,"Once we receive your returned item, please allow 7-10 business days for the return to be processed. Refunds will be credited back to the original payment method, and exchanges will be shipped within 2-3 business days after processing."
/mnt/data/F&Q.html,Link,#
/mnt/data/F&Q.html,Link,index.html
/mnt/data/F&Q.html,Link,index.html
/mnt/data/F&Q.html,Link,index.html
/mnt/data/F&Q.html,Link,index.html
/mnt/data/F&Q.html,Link,contact.html
/mnt/data/F&Q.html,Link,F&Q.html
/mnt/data/F&Q.html,Link,#
/mnt/data/F&Q.html,Link,#
/mnt/data/F&Q.html,Link,#
/mnt/data/index.html,Title,Shopy Cloud
/mnt/data/index.html,Header-h3,Best Gifts
/mnt/data/index.html,Header-h1,aboutus
/mnt/data/index.html,Header-h3,best Gift sellers
/mnt/data/index.html,Header-h3,why choose us?
/mnt/data/index.html,Header-h3,free delivery
/mnt/data/index.html,Header-h3,10 days returns
/mnt/data/index.html,Header-h3,offer & gifts
/mnt/data/index.html,Header-h3,secure paymens
/mnt/data/index.html,Header-h1,latestproducts
